id,text,lemma,upos,pos,feats,head,deprel,deps,misc
1,Kwa,kwa,PRON,DEMLOC,_,_,_,_,start_char=0|end_char=3
2,tshimologong,tshimologo,NOUN,N09,_,_,_,_,start_char=4|end_char=16
3,ya,ya,PART,POSSC09,_,_,_,_,start_char=17|end_char=19
4,Pakasome,pakasome,NOUN,N09,_,_,_,_,start_char=20|end_char=28
5,ya,ya,PART,POSSC09,_,_,_,_,start_char=29|end_char=31
6,Bobedi,bedi,NOUN,N14,_,_,_,_,start_char=32|end_char=38
7,ya,ya,PART,POSSC09,_,_,_,_,start_char=39|end_char=41
8,Kgololosego,kgololosego,NOUN,N09,_,_,_,_,start_char=42|SpaceAfter=No|end_char=53
9,",",",",PUNCT,ZM,_,_,_,_,start_char=53|end_char=54
10,ba,ba,PRON,SC02,_,_,_,_,start_char=55|end_char=57
11,le,le,VERB,VCOP,_,_,_,_,start_char=58|end_char=60
12,bantsi,ntsi,ADJ,ADJ02,_,_,_,_,start_char=61|end_char=67
13,ba,ba,PRON,SC02,_,_,_,_,start_char=68|end_char=70
14,ne,ne,AUX,VAUX,_,_,_,_,start_char=71|end_char=73
15,ba,ba,PRON,SC02,_,_,_,_,start_char=74|end_char=76
16,sa,sa,PART,PART,_,_,_,_,start_char=77|end_char=79
17,ntse,nna,AUX,VAUX,_,_,_,_,start_char=80|end_char=84
18,ba,ba,PRON,SC02,_,_,_,_,start_char=85|end_char=87
19,sa,sa,VERB,MNEG,_,_,_,_,start_char=88|end_char=90
20,akarediwe,akarela,VERB,V,_,_,_,_,start_char=91|end_char=100
21,mo,mo,PRON,DEMLOC,_,_,_,_,start_char=101|end_char=103
22,ikonoming,ikonomi,NOUN,N09,_,_,_,_,start_char=104|end_char=113
23,ya,ya,PART,POSSC09,_,_,_,_,start_char=114|end_char=116
24,naga,naga,NOUN,N09,_,_,_,_,start_char=117|end_char=121
25,le,le,PART,PART,_,_,_,_,start_char=122|end_char=124
26,go,go,PRON,SC15,_,_,_,_,start_char=125|end_char=127
27,fitlhela,fitlha,VERB,V,_,_,_,_,start_char=128|end_char=136
28,karolo,karolo,NOUN,N09,_,_,_,_,start_char=137|end_char=143
29,e,e,PRON,DEM09,_,_,_,_,start_char=144|end_char=145
30,e,e,PRON,SC09,_,_,_,_,start_char=146|end_char=147
