id,text,lemma,upos,pos,feats,head,deprel,deps,misc
1,Naa,naa,NOUN,CONJ,_,_,_,_,start_char=0|end_char=3
2,zwikhafula,zwikhafula,NOUN,N08,_,_,_,_,start_char=4|end_char=14
3,zwo,zwo,PRON,SC08,_,_,_,_,start_char=15|end_char=18
4,dzhenisiwa,dzhenisa,VERB,V,_,_,_,_,start_char=19|SpaceAfter=No|end_char=29
5,",",",",PUNCT,ZM,_,_,_,_,start_char=29|end_char=30
6,u,u,NOUN,NPRE,_,_,_,_,start_char=31|end_char=32
7,shandukisiwa,shandukisa,VERB,V,_,_,_,_,start_char=33|end_char=45
8,na,na,CCONJ,CONJ,_,_,_,_,start_char=46|end_char=48
9,u,u,NOUN,NPRE,_,_,_,_,start_char=49|end_char=50
10,vhofhololwa,vhofholola,VERB,V,_,_,_,_,start_char=51|end_char=62
11,nga,nga,ADP,PREPOS,_,_,_,_,start_char=63|end_char=66
12,vhathu,vhathu,NOUN,N02,_,_,_,_,start_char=67|end_char=73
13,vha,vha,PRON,SC02,_,_,_,_,start_char=74|end_char=77
14,re,re,VERB,V,_,_,_,_,start_char=78|end_char=80
15,na,na,CCONJ,CONJ,_,_,_,_,start_char=81|end_char=83
16,vhukoni,vhukoni,NOUN,N14,_,_,_,_,start_char=84|end_char=91
17,kana,kana,CCONJ,CONJ,_,_,_,_,start_char=92|end_char=96
18,nḓivho,nḓivho,NOUN,N09,_,_,_,_,start_char=97|SpaceAfter=No|end_char=103
19,.,.,PUNCT,ZE,_,_,_,_,start_char=103|end_char=104
1,Naa,naa,NOUN,CONJ,_,_,_,_,start_char=0|end_char=3
2,tshikhafula,tshikhafula,NOUN,N07,_,_,_,_,start_char=4|end_char=15
3,tsho,tsho,PRON,RELC07,_,_,_,_,start_char=16|end_char=20
4,tikiswa,tika,VERB,V,_,_,_,_,start_char=21|end_char=28
5,na,na,ADP,CONJ,_,_,_,_,start_char=29|end_char=31
6,tshifhaṱo,tshifhaṱo,NOUN,N07,_,_,_,_,start_char=32|end_char=41
7,nga,nga,ADP,PREPOS,_,_,_,_,start_char=42|end_char=45
8,nḓila,nḓila,NOUN,N09,_,_,_,_,start_char=46|end_char=51
9,ine,ine,PRON,PROREL04,_,_,_,_,start_char=52|end_char=55
10,tsha,tsha,PART,POSSC08,_,_,_,_,start_char=56|end_char=60
11,sa,sa,PART,PREPOS,_,_,_,_,start_char=61|end_char=63
12,ḓo,ḓo,PART,MORPHFUT,_,_,_,_,start_char=64|end_char=66
13,wa,wa,PART,POSSC03,_,_,_,_,start_char=67|SpaceAfter=No|end_char=69
14,?,?,PUNCT,ZE,_,_,_,_,start_char=69|end_char=70
1,Thaidzo,thaidzo,NOUN,N09,_,_,_,_,start_char=0|SpaceAfter=No|end_char=7
2,:,:,PUNCT,ZM,_,_,_,_,start_char=7|end_char=8
3,Itshi,itshi,NOUN,FOR,_,_,_,_,start_char=9|end_char=14
4,tshikhafula,tshikhafula,NOUN,N07,_,_,_,_,start_char=15|end_char=26
5,tsho,tsho,PRON,SC07,_,_,_,_,start_char=27|end_char=31
6,vha,vha,PRON,SC02,_,_,_,_,start_char=32|end_char=35
7,tshi,tshi,PRON,SC07,_,_,_,_,start_char=36|end_char=40
8,songo,songo,NOUN,N09,_,_,_,_,start_char=41|end_char=46
9,vhofhelelwa,vhofhelela,VERB,V,_,_,_,_,start_char=47|end_char=58
10,kha,kha,ADP,PREPOS,_,_,_,_,start_char=59|end_char=62
11,luvhondo,luvhondo,NOUN,N11,_,_,_,_,start_char=63|SpaceAfter=No|end_char=71
12,",",",",PUNCT,ZM,_,_,_,_,start_char=71|end_char=72
13,ngauralo,ngauralo,CCONJ,CONJ,_,_,_,_,start_char=73|end_char=81
14,tsho,tsho,PRON,RELC07,_,_,_,_,start_char=82|end_char=86
15,vhea,vhea,VERB,V,_,_,_,_,start_char=87|end_char=91
16,vhutshilo,vhutshilo,NOUN,N14,_,_,_,_,start_char=92|end_char=101
17,ha,ha,PART,POSSC17,_,_,_,_,start_char=102|end_char=104
18,vhashumi,vhashumi,NOUN,N02,_,_,_,_,start_char=105|end_char=113
19,khomboni,khomboni,NOUN,N09,_,_,_,_,start_char=114|SpaceAfter=No|end_char=122
20,.,.,PUNCT,ZE,_,_,_,_,start_char=122|end_char=123
1,Naa,naa,CCONJ,CONJ,_,_,_,_,start_char=0|end_char=3
2,hu,hu,PRON,CP15,_,_,_,_,start_char=4|end_char=6
3,na,na,VERB,CONJ,_,_,_,_,start_char=7|end_char=9
4,zwithu,zwithu,NOUN,N08,_,_,_,_,start_char=10|end_char=16
5,zwa,zwa,PART,POSSC08,_,_,_,_,start_char=17|end_char=20
6,u,u,NOUN,NPRE,_,_,_,_,start_char=21|end_char=22
7,thivhela,thivha,VERB,V,_,_,_,_,start_char=23|end_char=31
8,zwavhuḓi,zwavhuḓi,ADJ,ADJ08,_,_,_,_,start_char=32|end_char=40
9,kana,kana,CCONJ,CONJ,_,_,_,_,start_char=41|end_char=45
10,nḓivhadzo,nḓivhadzo,NOUN,N09,_,_,_,_,start_char=46|end_char=55
11,dza,dza,PART,POSSC10,_,_,_,_,start_char=56|end_char=59
12,u,u,NOUN,NPRE,_,_,_,_,start_char=60|end_char=61
13,kaidza,kaidza,VERB,V,_,_,_,_,start_char=62|end_char=68
14,u,u,NOUN,NPRE,_,_,_,_,start_char=69|end_char=70
15,thivhela,thivha,VERB,V,_,_,_,_,start_char=71|end_char=79
16,vhathu,vhathu,NOUN,N02,_,_,_,_,start_char=80|end_char=86
17,u,u,NOUN,NPRE,_,_,_,_,start_char=87|end_char=88
18,shumisa,shumisa,VERB,V,_,_,_,_,start_char=89|end_char=96
19,tshikhafula,tshikhafula,NOUN,N07,_,_,_,_,start_char=97|end_char=108
20,tshi,tshi,PRON,SC07,_,_,_,_,start_char=109|end_char=113
21,songo,songo,NOUN,N09,_,_,_,_,start_char=114|end_char=119
22,fhelelaho,fhelela,VERB,V,_,_,_,_,start_char=120|SpaceAfter=No|end_char=129
23,",",",",PUNCT,ZM,_,_,_,_,start_char=129|end_char=130
24,tsumbo,tsumbo,NOUN,N10,_,_,_,_,start_char=131|SpaceAfter=No|end_char=137
25,",",",",PUNCT,ZM,_,_,_,_,start_char=137|end_char=138
26,hune,hune,PRON,PROREL17,_,_,_,_,start_char=139|end_char=143
27,fhethu,fhethu,NOUN,N16,_,_,_,_,start_char=144|end_char=150
28,ha,ha,PART,POSSC17,_,_,_,_,start_char=151|end_char=153
29,u,u,NOUN,NPRE,_,_,_,_,start_char=154|end_char=155
30,shumela,shumela,VERB,V,_,_,_,_,start_char=156|end_char=163
31,ha,ha,PART,POSSC17,_,_,_,_,start_char=164|end_char=166
32,vha,vha,PRON,SC02,_,_,_,_,start_char=167|end_char=170
33,hu,hu,PRON,SC17,_,_,_,_,start_char=171|end_char=173
34,songo,songo,NOUN,N09,_,_,_,_,start_char=174|end_char=179
35,tsireledzwa,tsireledza,VERB,V,_,_,_,_,start_char=180|end_char=191
36,nga,nga,ADP,PREPOS,_,_,_,_,start_char=192|end_char=195
37,dzibodo,bodo,NOUN,N10,_,_,_,_,start_char=196|SpaceAfter=No|end_char=203
38,?,?,PUNCT,ZE,_,_,_,_,start_char=203|end_char=204
1,Naa,naa,NOUN,CONJ,_,_,_,_,start_char=0|end_char=3
2,zwikhafula,zwikhafula,NOUN,N08,_,_,_,_,start_char=4|end_char=14
3,zwi,zwi,PRON,RELC08,_,_,_,_,start_char=15|end_char=18
4,khou,khou,AUX,VAUX,_,_,_,_,start_char=19|end_char=23
5,ṱhogomelwa,ṱhogomela,VERB,V,_,_,_,_,start_char=24|end_char=34
6,nga,nga,ADP,PREPOS,_,_,_,_,start_char=35|end_char=38
7,nḓila,nḓila,NOUN,N09,_,_,_,_,start_char=39|end_char=44
8,yo,yo,PRON,SC09,_,_,_,_,start_char=45|end_char=47
9,teaho,tea,VERB,V,_,_,_,_,start_char=48|SpaceAfter=No|end_char=53
10,?,?,PUNCT,ZE,_,_,_,_,start_char=53|end_char=54
1,Naa,naa,CCONJ,CONJ,_,_,_,_,start_char=0|end_char=3
2,mvelelo,mvelelo,NOUN,N09,_,_,_,_,start_char=4|end_char=11
3,dza,dza,PART,POSSC10,_,_,_,_,start_char=12|end_char=15
4,u,u,NOUN,NPRE,_,_,_,_,start_char=16|end_char=17
5,ṱola,ṱola,VERB,V,_,_,_,_,start_char=18|end_char=22
6,dzi,dzi,PRON,SC10,_,_,_,_,start_char=23|end_char=26
7,a,a,PRON,SC06,_,_,_,_,start_char=27|end_char=28
8,rekhodiwa,rekhoda,VERB,V,_,_,_,_,start_char=29|SpaceAfter=No|end_char=38
9,?,?,PUNCT,ZE,_,_,_,_,start_char=38|end_char=39
